year,month,Cy,Gr1,Gr2,Di1,Di2,Go1,Go2,Cr1,Cr2,Mi,He,Om,Pr,temperature,phosphorus
1977,1,4216.666667,379.6296296,1362.962963,40638.12963,49001.85185,0,0,109814.8148,20131.48148,3422.222222,249524,6495,0,4.742105263,0.091789474
1977,2,3816.666667,2645207.407,1746.296296,50838.88889,197395.9259,12111.11111,0,258185.1852,7905.555556,9809.259259,48468,1935.33,0,4.347368421,0.107684211
1977,3,2896.296296,282777.7778,10444.44444,1567923.315,212888.8519,79388.88889,2851.851852,227425.9259,1279.62963,16038.14815,47828,5806,0,4.936842105,0.086947368
1977,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.844736842,0.079131579
1977,5,4396.296296,7066.666667,1796.296296,1157601.852,83164.74074,19814.81481,20529.62963,191777.7778,13361.11111,10694.44444,578762,32329,0,6.752631579,0.071315789
1977,6,4161.111111,1604257.407,1433.333333,20518.51852,549155.5556,0,45785.18519,238925.9259,13574.07407,3181.481481,1590544.33,6446,0,8.852631579,0.065368421
1977,7,4362.962963,119689.5556,14518.33333,151722.2222,215850,2592.592593,7864.814815,131000,31961.11111,5790.740741,1499665.9,12892,0,9.905263158,0.062631579
1977,8,20653.7037,45501.85185,19592.59259,202337.037,12622.22222,9481.481481,7796.296296,132074.0741,36442.59259,4485.185185,287806,16042.93,18013.04,10.80526316,0.059684211
1977,9,41668.51852,26277.77778,15609,105146.8259,53196.2963,46388.88889,825.9259259,280925.9259,20137.03704,6401.851852,982742,32181.93,0,10.88947368,0.067157895
1977,10,20947.90741,9053.703704,11911.11111,15470.37037,99868.51852,3111.111111,11194.44444,116222.2222,10685.18519,6472.222222,1180151.3,6446,12941,9.389473684,0.072842105
1977,11,16633.33333,3048.148148,3666.666667,136703.7037,56540.74074,2555.555556,16157.40741,56074.07407,15203.7037,3509.259259,221131,3887,1313,8.668421053,0.068736842
1977,12,21168.51852,4709.259259,2951.851852,44148.14815,72642.59259,8518.518519,1685.185185,54037.03704,8020.37037,5714.814815,124491,9694,0,6.468421053,0.084789474
1978,1,22550,3461.111111,2701.851852,57355.55556,78138.88889,17555.55556,4266.666667,99611.11111,7479.62963,5212.962963,104759,1279,34,5.563157895,0.084842105
1978,2,40642.59259,3368.518519,4724.074074,101500,65566.81481,9259.259259,7398.148148,118166.6667,5535.185185,2660.074074,40399,0,0,4.968421053,0.083526316
