"year","month","Cy","Gr1","Gr2","Di1","Di2","Go1","Go2","Cr1","Cr2","Mi","He","Om","Pr","temperature","PO4_P"
1977,1,4216.66666666667,379.62962962963,1362.96296296296,40638.1296296296,49001.8518518518,0,0,109814.814814815,20131.4814814815,3422.22222222222,249524,6495,0,4.7421052631579,0.0917894736842105
1977,2,3816.66666666666,2645207.40740743,1746.2962962963,50838.8888888889,197395.925925925,12111.1111111111,0,258185.185185185,7905.55555555555,9809.25925925926,48468,1935.33,0,4.34736842105263,0.107684210526316
1977,3,2896.29629629629,282777.777777778,10444.4444444444,1567923.31481482,212888.851851852,79388.8888888889,2851.85185185185,227425.925925926,1279.62962962963,16038.1481481481,47828,5806,0,4.93684210526316,0.0869473684210526
1977,5,4396.2962962963,7066.66666666667,1796.2962962963,1157601.85185185,83164.7407407408,19814.8148148148,20529.6296296296,191777.777777778,13361.1111111111,10694.4444444444,578762,32329,0,6.75263157894737,0.0713157894736842
1977,6,4161.11111111111,1604257.40740741,1433.33333333333,20518.5185185185,549155.555555555,0,45785.1851851852,238925.925925926,13574.0740740741,3181.48148148148,1590544.33,6446,0,8.85263157894737,0.0653684210526316
1977,7,4362.96296296297,119689.555555555,14518.3333333333,151722.222222223,215850,2592.59259259259,7864.81481481481,131000,31961.1111111111,5790.74074074074,1499665.9,12892,0,9.90526315789474,0.0626315789473684
1977,8,20653.7037037037,45501.8518518519,19592.5925925926,202337.037037037,12622.2222222222,9481.48148148148,7796.2962962963,132074.074074074,36442.5925925926,4485.18518518519,287806,16042.93,18013.04,10.8052631578947,0.0596842105263158
1977,9,41668.5185185185,26277.7777777778,15609,105146.825925926,53196.2962962963,46388.8888888888,825.925925925926,280925.925925926,20137.037037037,6401.85185185185,982742,32181.93,0,10.8894736842105,0.0671578947368421
1977,10,20947.9074074074,9053.7037037037,11911.1111111111,15470.3703703704,99868.5185185185,3111.11111111111,11194.4444444444,116222.222222222,10685.1851851852,6472.22222222222,1180151.3,6446,12941,9.38947368421053,0.0728421052631579
1977,11,16633.3333333333,3048.14814814815,3666.66666666667,136703.703703704,56540.7407407408,2555.55555555556,16157.4074074074,56074.0740740741,15203.7037037037,3509.25925925926,221131,3887,1313,8.66842105263158,0.0687368421052632
