time,predator_abundance,prey1_abundance,prey2_abundance,dilution,replicate
0,100,100000,100000,0.45,1
1,222,1636987,1561627,0.45,1
2,4444,910600,789187,0.45,1
3,4519,705453,290973,0.45,1
4,3667,921067,290973,0.45,1
5,5630,707547,318187,0.45,1
6,5667,634280,186307,0.45,1
7,4889,925253,351680,0.45,1
8,4074,835240,395640,0.45,1
9,4556,770347,286787,0.45,1
10,4111,573573,167467,0.45,1
11,2852,1034107,301440,0.45,1
12,5852,776627,483560,0.45,1
13,8000,602880,378893,0.45,1
14,4741,847800,205147,0.45,1
15,3741,1055040,276320,0.45,1
16,5481,715920,357960,0.45,1
17,7519,489840,314000,0.45,1
18,4815,965027,173747,0.45,1
19,4519,1124120,303533,0.45,1
20,6333,625907,345400,0.45,1
21,8148,447973,236547,0.45,1
22,5259,741040,200960,0.45,1
23,3185,1080160,251200,0.45,1
24,4926,787093,412387,0.45,1
25,8037,615440,249107,0.45,1
26,5111,787093,136067,0.45,1
27,3074,988053,257480,0.45,1
28,4444,671960,410293,0.45,1
29,8037,464720,284693,0.45,1
30,4852,692893,133973,0.45,1
31,3296,1090627,259573,0.45,1
0,100,100000,100000,0.45,2
1,148,1672573,1354387,0.45,2
2,4370,985960,868733,0.45,2
3,5963,290973,468907,0.45,2
4,4074,799653,736853,0.45,2
5,6259,866640,604973,0.45,2
6,7444,1065507,471000,0.45,2
7,5815,642653,303533,0.45,2
8,4074,573573,226080,0.45,2
9,5481,561013,261667,0.45,2
10,5519,594507,213520,0.45,2
11,8259,569387,169560,0.45,2
12,5296,776627,776627,0.45,2
13,4074,996427,265853,0.45,2
14,6333,621720,525427,0.45,2
15,8370,320280,314000,0.45,2
16,5222,632187,228173,0.45,2
17,4000,956653,261667,0.45,2
18,5704,525427,510773,0.45,2
19,8222,284693,236547,0.45,2
20,6556,494027,175840,0.45,2
21,4852,891760,284693,0.45,2
22,5481,542173,337027,0.45,2
23,7407,464720,230267,0.45,2
24,5481,734760,175840,0.45,2
25,3074,902227,247013,0.45,2
26,5444,667773,351680,0.45,2
27,8074,416573,226080,0.45,2
28,4815,657307,144440,0.45,2
29,3630,835240,236547,0.45,2
30,4667,602880,366333,0.45,2
31,8037,460533,251200,0.45,2
32,4926,715920,142347,0.45,2
33,3370,969213,290973,0.45,2
34,4778,617533,380987,0.45,2
35,7074,424947,261667,0.45,2
36,5000,655213,136067,0.45,2
37,3407,969213,142347,0.45,2
38,5407,617533,290973,0.45,2
39,8444,424947,380987,0.45,2
40,4704,655213,261667,0.45,2
41,3000,1042480,136067,0.45,2
42,5037,659400,427040,0.45,2
43,8704,372613,297253,0.45,2
44,5370,659400,152813,0.45,2
0,100,100000,100000,0.5,1
1,259,2456178,1688622,0.5,1
2,1815,214567,406456,0.5,1
3,1148,272133,307022,0.5,1
4,2889,580900,2588756,0.5,1
5,4185,157000,322722,0.5,1
6,5815,94200,200611,0.5,1
7,4667,509378,254689,0.5,1
8,6148,940256,858267,0.5,1
9,4037,109900,265156,0.5,1
10,3630,846056,500656,0.5,1
11,6370,345400,1112956,0.5,1
12,3815,359356,1812478,0.5,1
13,3407,104667,211078,0.5,1
14,5000,732667,1079811,0.5,1
15,7741,273878,586133,0.5,1
16,2741,423900,505889,0.5,1
17,3667,493678,1041433,0.5,1
18,6111,919322,303533,0.5,1
19,1444,486700,1331011,0.5,1
20,2852,640211,245967,0.5,1
21,2185,1130400,607067,0.5,1
22,5630,202356,661144,0.5,1
23,3963,286089,1285656,0.5,1
24,8963,1023989,181422,0.5,1
25,3000,722200,380289,0.5,1
26,8222,1017011,661144,0.5,1
27,1556,734411,223289,0.5,1
28,2333,591367,1332756,0.5,1
29,3630,484956,1327522,0.5,1
30,7111,383778,303533,0.5,1
31,7037,1643267,409944,0.5,1
32,1370,1043178,781511,0.5,1
33,5593,880944,1720022,0.5,1
34,2259,598344,743133,0.5,1
35,2704,1069344,462278,0.5,1
36,4370,2136944,1346711,0.5,1
37,32185,546011,758833,0.5,1
38,4370,296556,835589,0.5,1
39,4704,2281733,718711,0.5,1
40,8148,736156,2260800,0.5,1
41,2630,1570000,535544,0.5,1
42,1667,2546889,2454433,0.5,1
43,4222,1095511,1981689,0.5,1
44,2667,2002622,757089,0.5,1
45,5556,598344,542522,0.5,1
46,9111,1217622,216311,0.5,1
47,9778,1085044,1112956,0.5,1
48,2111,1153078,1601400,0.5,1
49,1889,1118189,608811,0.5,1
50,9370,453556,648933,0.5,1
51,12667,1099000,225033,0.5,1
0,100,100000,100000,0.5,2
1,370,2553867,6154400,0.5,2
2,667,666876,2296686,0.5,2
3,1370,1636289,2009600,0.5,2
4,2000,3422600,1472311,0.5,2
5,3593,3178378,2494556,0.5,2
6,3704,1503711,385522,0.5,2
7,4148,334933,99433,0.5,2
8,1963,577411,736156,0.5,2
9,4852,929789,1440911,0.5,2
10,2259,1653733,525078,0.5,2
11,6630,718711,612300,0.5,2
12,5074,1618844,978633,0.5,2
13,9481,1733978,509378,0.5,2
14,5667,1604889,312256,0.5,2
15,4037,886178,2255567,0.5,2
16,6519,696033,157000,0.5,2
17,6111,568689,92456,0.5,2
18,7741,922811,1123422,0.5,2
19,18259,797211,563456,0.5,2
20,4111,1678156,532056,0.5,2
21,6852,3056267,2518978,0.5,2
22,2519,2306156,2295689,0.5,2
23,4593,474489,840822,0.5,2
24,5889,465767,798956,0.5,2
25,6444,558222,505889,0.5,2
26,10370,1683389,507633,0.5,2
27,9074,1665944,943744,0.5,2
28,6556,1716533,549500,0.5,2
29,6370,709989,294811,0.5,2
30,4815,1407767,1132144,0.5,2
31,5630,2194511,1653733,0.5,2
32,5630,621022,1092022,0.5,2
33,5630,563456,1085044,0.5,2
34,11000,378544,378544,0.5,2
35,2556,921067,406456,0.5,2
36,3333,891411,898389,0.5,2
37,8407,1720022,682078,0.5,2
38,9222,865244,737900,0.5,2
39,12630,889667,1798522,0.5,2
40,7556,1798522,692544,0.5,2
41,9704,1446144,561711,0.5,2
42,2778,720456,755344,0.5,2
43,3407,666378,661144,0.5,2
44,5333,680333,1095511,0.5,2
45,7074,744878,1463589,0.5,2
46,1741,942000,2109033,0.5,2
0,100,924555.5556,100000,0.5,3
1,2111.111111,976888.8889,5149600,0.5,3
2,2000,783255.5556,207588.8889,0.5,3
3,4185.185185,462277.7778,118622.2222,0.5,3
4,4407.407407,568688.8889,333188.8889,0.5,3
5,3185.185185,1392066.667,502400,0.5,3
6,5481.481481,467511.1111,340166.6667,0.5,3
7,5481.481481,221544.4444,143044.4444,0.5,3
8,3481.481481,619277.7778,704755.5556,0.5,3
9,5222.222222,357611.1111,223288.8889,0.5,3
10,5925.925926,275622.2222,225033.3333,0.5,3
11,7370.37037,287833.3333,673355.5556,0.5,3
12,4555.555556,136066.6667,143044.4444,0.5,3
13,5185.185185,261666.6667,301788.8889,0.5,3
14,5444.444444,252944.4444,88966.66667,0.5,3
15,2629.62963,2857400,200611.1111,0.5,3
16,5444.444444,176188.8889,1004800,0.5,3
17,4925.925926,1154822.222,240733.3333,0.5,3
18,3777.777778,245966.6667,238988.8889,0.5,3
19,2629.62963,570433.3333,1193200,0.5,3
20,2666.666667,245966.6667,232011.1111,0.5,3
21,2370.37037,598344.4444,1289144.444,0.5,3
22,4740.740741,116877.7778,713477.7778,0.5,3
23,1037.037037,170955.5556,296555.5556,0.5,3
24,666.6666667,558222.2222,401222.2222,0.5,3
25,1185.185185,1093766.667,143044.4444,0.5,3
26,1962.962963,1665944.444,186655.5556,0.5,3
27,5296.296296,901877.7778,600088.8889,0.5,3
28,6296.296296,504144.4444,251200,0.5,3
29,3185.185185,1032711.111,762322.2222,0.5,3
0,7133,3223733,3066733,0.5,4
1,10533,293067,1088533,0.5,4
2,7333,1475800,4950733,0.5,4
3,8800,1873533,2899267,0.5,4
4,7200,1350200,868733,0.5,4
5,7000,2145667,2616667,0.5,4
6,7200,1831667,2177067,0.5,4
7,8133,2292200,2878333,0.5,4
8,9067,1423467,2082867,0.5,4
9,8333,722200,2323600,0.5,4
10,8333,628000,2627133,0.5,4
11,8400,544267,3213267,0.5,4
12,8467,1580467,3747067,0.5,4
13,14533,1465333,2595733,0.5,4
14,7533,1350200,2124733,0.5,4
15,14067,1067600,4259933,0.5,4
16,13867,1737467,2763200,0.5,4
17,5667,2365467,3338867,0.5,4
18,9533,3464467,7902333,0.5,4
19,6600,6457933,4657667,0.5,4
20,16600,1413000,3736600,0.5,4
21,18867,1779333,4029667,0.5,4
22,12333,764067,3286533,0.5,4
23,15933,1842133,3485400,0.5,4
24,14333,1590933,3234200,0.5,4
25,10133,1873533,3495867,0.5,4
26,12333,1235067,1706067,0.5,4
27,13333,523333,2260800,0.5,4
28,13200,1727000,4427400,0.5,4
29,12867,1664200,3611000,0.5,4
30,13200,1611867,4511133,0.5,4
31,14333,1632800,3213267,0.5,4
32,16533,2491067,3715667,0.5,4
33,12933,1402533,2051467,0.5,4
34,12200,2355000,6049733,0.5,4
35,9200,1392067,4898400,0.5,4
36,18667,648933,2386400,0.5,4
37,10867,659400,2888800,0.5,4
38,15333,450067,1863067,0.5,4
39,14133,523333,1842133,0.5,4
40,9267,994333,1904933,0.5,4
41,13467,1747933,2051467,0.5,4
0,7600,638467,3003933,0.5,5
1,10533,607067,2909733,0.5,5
2,8800,910600,3872667,0.5,5
3,5667,1318800,722200,0.5,5
4,3600,1884000,900133,0.5,5
5,7667,303533,198867,0.5,5
6,9000,690800,1224600,0.5,5
7,7333,481467,2606200,0.5,5
8,6933,879200,2061933,0.5,5
9,8933,1308333,2867867,0.5,5
10,7400,1067600,2888800,0.5,5
11,8200,1015267,3705200,0.5,5
12,6800,3757533,2229400,0.5,5
13,13000,1894467,2061933,0.5,5
14,9267,764067,2198000,0.5,5
15,15133,826867,2595733,0.5,5
16,4200,544267,4511133,0.5,5
17,4333,837333,1611867,0.5,5
18,4400,3799400,3977333,0.5,5
19,10533,711733,2972533,0.5,5
20,12000,921067,1465333,0.5,5
21,8800,1046667,3003933,0.5,5
22,21000,1004800,1360667,0.5,5
23,11867,1339733,2396867,0.5,5
24,8400,732667,1873533,0.5,5
25,9667,533800,1486267,0.5,5
26,13200,1915400,3265600,0.5,5
27,11933,889667,2156133,0.5,5
28,9467,1475800,3642400,0.5,5
29,11800,1161800,2794600,0.5,5
30,11800,858267,1004800,0.5,5
31,15600,1653733,3904067,0.5,5
32,12733,962933,1957267,0.5,5
33,12200,439600,2375933,0.5,5
34,11933,533800,3035333,0.5,5
35,10133,690800,2920200,0.5,5
36,11400,617533,2103800,0.5,5
37,11067,471000,774533,0.5,5
38,11533,512867,2051467,0.5,5
39,12733,491933,2941133,0.5,5
40,11467,648933,2595733,0.5,5
41,8600,900133,3391200,0.5,5
0,100,100000,100000,0.75,1
1,629.6296296,2232888.889,3028355.556,0.75,1
